Permit,Worktype,IssuedTo,Date,year,Address,Parcel,Units,Legal,Valuation
R19-1470,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2316 SUSITNA, Anchorage, Alaska",119220000,NA,PARK BLK   R LT  11  G:1526,"10,000.00"
R19-1471,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2521 SAINT ELIAS, Anchorage, Alaska",123616000,NA,TURNAGAIN HOMES BLK  G LT  12  G:1527,"10,000.00"
R19-1472,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2336 FOREST PARK, Anchorage, Alaska",118108000,NA,FOREST HIGHLANDS LT   3  G:1527,"14,000.00"
R19-1473,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2247 ARCTIC, Anchorage, Alaska",118206000,NA,TURNAGAIN HEIGHTS BLK   B LT 12  G:1527,"19,000.00"
R19-1513,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2401 FORAKER, Anchorage, Alaska",122244000,NA,TURNAGAIN HOMES BLK  P LT  22  G:1526,"18,000.00"
R19-1514,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"4200 WORONZOF, Anchorage, Alaska",1005369000,NA,TURNAGAIN WEST BLK  2 LT  16  G:1625,"19,000.00"
R19-1515,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"W 2219 MARSTON, Anchorage, Alaska",119425000,NA,SIMONSON ESTATES BLK  B LT  10  G:1526,"15,000.00"
R19-1516,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3003 CARROLL, Anchorage, Alaska",1019120000,NA,BROADMOOR ESTATES BLK  3 LT   2  G:1727,"15,000.00"
R19-1518,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"W 3936 37TH, Anchorage, Alaska",1014414000,NA,BROADMOOR ESTATES WEST #1 BLK  3 LT   5  G:1726,"18,000.00"
R19-1519,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2527 SUSITNA, Anchorage, Alaska",122315000,NA,TURNAGAIN HOMES BLK  Q LT  25  G:1526,"9,000.00"
R19-1520,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3232 KNIK, Anchorage, Alaska",122133000,NA,TURNAGAIN HOMES BLK  O LT   7  G:1526,"19,000.00"
R19-1521,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"W 3100 29TH, Anchorage, Alaska",1003124000,NA,MCRAE (SUBD OF LT 11) LT   3 (OF LT  11)  G:1627,"9,000.00"
R19-1522,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3417 AERO, Anchorage, Alaska",1007208000,NA,HAWTHORNE BLK  2 LT   8  G:1626,"10,000.00"
R19-1523,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"6400 NORM, Anchorage, Alaska",1406265000,NA,CARRIAGE ESTATES PHASE 1 BLK  2 LT  36  G:2034,"26,000.00"
R19-1524,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3329 STARLITE, Anchorage, Alaska",1006165000,NA,SATELLITE PARK BLK   2 LT 22  G:1625,"10,000.00"
R19-1525,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"140 BREE, Anchorage, Alaska",1804109000,NA,OCEANVIEW ESTATES BLK  1 LT   5  G:2830,"15,000.00"
R19-1526,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"4150 HORIZON AVENUE, Anchorage, Alaska",1005220000,NA,WORONZOF WEST #2 BLK  2 LT  15A  G:1625,"9,000.00"
R19-1527,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1327 P STREET, Anchorage, Alaska",109635000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34A LT  23  G:1429,"12,800.00"
R19-1546,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"13265 BADGER LANE, Anchorage, Alaska",1734310000,NA,SECLUDED HILLS BLK  2 LT   2  G:2937,"14,990.00"
R19-1547,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"13720 JARVI, Anchorage, Alaska",1815197000,NA,SUNSET MANOR #2 BLK   6 LT   6A  G:2932,"34,505.00"
R19-1556,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 816 16TH, Anchorage, Alaska",115425000,NA,CHESTER BLK  4 LT   3  G:1429,"20,886.00"
R19-1587,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1334 G, Anchorage, Alaska",215605000,NA,SOUTH ADDITION BLK 37B LT   5  G:1430,"11,320.00"
R19-1588,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1522 COFFEY LANE, Anchorage, Alaska",109464000,NA,COFFEY BLK 44C LT  3A  G:1429,"18,054.00"
R19-1661,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1451 13TH, Anchorage, Alaska",108479000,NA,SOUTH ADDITION BLK 26D LT   7A  G:1329,"12,597.00"
R19-1662,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1312 15TH, Anchorage, Alaska",109521000,NA,SOUTH ADDITION BLK 45 LT   2  G:1429,"17,315.00"
R19-1663,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2627 LOVEJOY, Anchorage, Alaska",416220000,NA,ANCHOR PARK BLK  1 LT  22  G:1534,"7,357.00"
R19-1687,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"10650 LONE TREE, Anchorage, Alaska",1532255000,NA,VALLI VUE ESTATES #2 BLK  2 LT   3  G:2538,"12,493.00"
R19-1709,BldgAlter,ANCHORAGE SOLAR,2019,2019,"6747 DOUBLE TREE, Anchorage, Alaska",1531109000,NA,VALLI VUE ESTATES #1 BLK  1 LT   8  G:2539,"33,070.00"
R19-1710,BldgAlter,ANCHORAGE SOLAR,2019,2019,"5323 KEUKA, Anchorage, Alaska",512208000,NA,COLLEGEGATE #6 BLK 11 LT  29  G:1637,"11,900.00"
R19-1814,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1134 H, Anchorage, Alaska",108113000,NA,SOUTH ADDITION BLK 23A LT   4A  G:1329,"16,727.00"
R19-1815,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1130 S, Anchorage, Alaska",107308000,NA,SOUTH ADDITION BLK 28 LT  10 N 75' OF S1/2  G:1328,"14,693.00"
R19-1816,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1651 SUNRISE, Anchorage, Alaska",414117000,NA,SAXTON BLK  8 LT   4  G:1434,"17,936.00"
R19-1817,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2303 MC RAE, Anchorage, Alaska",1012317000,NA,LINTNER LT 37  G:1728,"21,949.00"
R19-1818,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1515 15TH, Anchorage, Alaska",110239000,NA,SOUTH ADDITION BLK 33D LT   9  G:1428,"15,665.00"
R19-1819,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1555 E, Anchorage, Alaska",215352000,NA,SOUTH ADDITION BLK 40A LT  18A  G:1430,"15,075.00"
R19-1845,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"1301 HEIDI, Anchorage, Alaska",1211307000,NA,NOMEN BLK  1 LT   7  G:2129,"20,637.00"
R19-1883,BldgAlter,ANCHORAGE SOLAR,2019,2019,"940 P STREET, Anchorage, Alaska",107242000,NA,L STREET SLIDE REPLAT BLK 13A LT   7D  G:1328,"16,396.00"
R19-1884,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1434 11TH, Anchorage, Alaska",108434000,NA,SOUTH ADDITION BLK 26A LT   4  G:1329,"15,665.00"
R19-1885,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1133 N, Anchorage, Alaska",108351000,NA,SOUTH ADDITION BLK 25A LT  16  G:1329,"16,314.00"
R19-1945,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3600 WYOMING, Anchorage, Alaska",1012510000,NA,CONROY RUSHTON BLK   2 LT   1  G:1728,"10,798.00"
R19-1946,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1141 M, Anchorage, Alaska",108347000,NA,SOUTH ADDITION BLK 25A LT   4  G:1329,"10,797.00"
R19-1949,BldgAlter,ANCHORAGE SOLAR,2019,2019,"10340 KASILOF, Anchorage, Alaska",1513327000,NA,KASILOF HILLS BLK  5 LT   1A  G:2541,"22,320.00"
R19-1950,BldgAlter,ANCHORAGE SOLAR,2019,2019,"4130 DEFIANCE, Anchorage, Alaska",714514000,NA,EASTLAKE ADDITION #1 BLK   2 LT   5  G:1738,"8,400.00"
R19-1951,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1729 11TH, Anchorage, Alaska",107240000,NA,L STREET SLIDE REPLAT PHASE 2 BLK 14 LT,"24,369.00"
R19-1952,BldgAlter,ANCHORAGE SOLAR,2019,2019,"8615 CORMORANT COVE, Anchorage, Alaska",1501602000,NA,SAHALEE PHASE 3 BLK  2 LT  34  G:2336,"13,860.00"
R19-1973,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1113 N, Anchorage, Alaska",108368000,NA,SOUTH ADDITION BLK 25A LTS 14 W10' AND 15  G:1329,"15,930.00"
R19-1976,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2613 ARLINGTON, Anchorage, Alaska",124304000,NA,HUNTINGTON PARK #1 BLK  3 LT   2  G:1528,"7,000.00"
R19-1977,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2131 MCKENZIE DRIVE, Anchorage, Alaska",119206000,NA,PARK BLK   R LT  25  G:1526,"16,000.00"
R19-1978,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2315 DOUGLAS DRIVE, Anchorage, Alaska",119120000,NA,PARK BLK  M LT  24  G:1526,"16,000.00"
R19-1979,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3816 KNIK, Anchorage, Alaska",122542000,NA,SIMONSON BLK 16A LT   5  G:1526,"10,000.00"
R19-1980,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2551 FORAKER, Anchorage, Alaska",122237000,NA,TURNAGAIN HOMES BLK  N LT  13  G:1526,"16,000.00"
R19-1981,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"1775 FOREST PARK, Anchorage, Alaska",114333000,NA,LAGOON ESTATES LT   4  G:1428,"15,000.00"
R19-1982,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"W 3230 31ST, Anchorage, Alaska",1004353000,NA,TURNAGAIN SOUTH BLK  4 LT   5  G:1626,"13,000.00"
R19-1983,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2001 HILLCREST, Anchorage, Alaska",114218000,NA,LINGO LT  34A  G:1428,"16,000.00"
R19-1984,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2451 SPURR LANE, Anchorage, Alaska",122437000,NA,CHARLES G JONES LT 17  G:1526,"14,000.00"
R19-2050,BldgAlter,ANCHORAGE SOLAR,2019,2019,"11800 NEBESNA, Anchorage, Alaska",1524305000,NA,ALPINE TERRACE BLK  2 LT   3  G:2740,"18,600.00"
R19-2080,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1614 HIDDEN LANE, Anchorage, Alaska",110125000,NA,SOUTH ADDITION BLK 46 LT  10  G:1428,"15,445.00"
R19-2081,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1594 GARDEN STREET, Anchorage, Alaska",411232000,NA,SAXTON BLK  3 LT   9  G:1434,"13,440.00"
R19-2082,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1536 14TH, Anchorage, Alaska",110234000,NA,SOUTH ADDITION BLK 33D LT   4  G:1428,"11,790.00"
R19-2083,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1327 H, Anchorage, Alaska",215643000,NA,SOUTH ADDITION BLK 37B LT   9  G:1430,"12,398.00"
R19-2092,BldgAlter,ANCHORAGE SOLAR,2019,2019,"14111 SUNVIEW, Anchorage, Alaska",1820148000,NA,SUNSET HILLS BLK  B LT  25  G:3033,"13,440.00"
R19-2096,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1429 12TH, Anchorage, Alaska",108455000,NA,SOUTH ADDITION BLK 26A LT   8  G:1329,"7,470.00"
R19-2097,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1406 13TH, Anchorage, Alaska",109615000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34A LT   1  G:1429,"12,810.00"
R19-2121,BldgAlter,ANCHORAGE SOLAR,2019,2019,"920 R, Anchorage, Alaska",107223000,NA,L STREET SLIDE REPLAT PHASE 2 BLK 13B LT,"15,120.00"
R19-2122,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1517 15TH, Anchorage, Alaska",110240000,NA,SOUTH ADDITION BLK 33D LT   8  G:1428,"17,010.00"
R19-2123,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1529 E, Anchorage, Alaska",215325000,NA,SOUTH ADDITION BLK 40A LT   8  G:1430,"10,395.00"
R19-2124,BldgAlter,ANCHORAGE SOLAR,2019,2019,"24242 ALPENGLOW, Anchorage, Alaska",5061133000,NA,HAMANN LT  7A  G:0161,"33,630.00"
R19-2127,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"9410 NETTLETON, Anchorage, Alaska",1506262000,NA,NETTLETON ACRES #1 LT  1  G:2439,"25,655.00"
R19-2128,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"17001 ARIES COURT, Anchorage, Alaska",2009130000,NA,SUSITNA VIEW ESTATES BLK  3 LT   8  G:3336,"17,990.00"
R19-2161,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1319 11TH, Anchorage, Alaska",108490000,NA,SOUTH ADDITION BLK  15B LT   9 E23' & LT 10  G:1329,"18,225.00"
R19-2164,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1426 G, Anchorage, Alaska",215610000,NA,SOUTH ADDITION BLK 37C LT   4  G:1430,"19,300.00"
R19-2172,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"W 3735 35TH, Anchorage, Alaska",1007226000,NA,HAWTHORNE BLK  1 LT   6  G:1626,"17,500.00"
R19-2173,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2439 DOUGLAS DRIVE, Anchorage, Alaska",122213000,NA,TURNAGAIN HOMES BLK  M LT  29  G:1526,"11,000.00"
R19-2174,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3640 CLAY PRODUCTS, Anchorage, Alaska",122511000,NA,HOLIFIELD LT  5  G:1526,"13,000.00"
R19-2175,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2437 LOUSSAC, Anchorage, Alaska",123329000,NA,TURNAGAIN HEIGHTS #1 BLK  B LT  21  G:1527,"14,000.00"
R19-2212,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"1601 KEPNER, Anchorage, Alaska",623317000,NA,NUNAKA VALLEY BLK  B LT  28  G:1438,"19,990.00"
R19-2264,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3620 CLAY PRODUCTS, Anchorage, Alaska",122513000,NA,HOLIFIELD LT  3  G:1526,"15,000.00"
R19-2265,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2100 FORAKER, Anchorage, Alaska",119212000,NA,PARK BLK   R LT  19  G:1526,"15,000.00"
R19-2272,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1342 12TH, Anchorage, Alaska",108462000,NA,SOUTH ADDITION BLK 26D LT   2B  G:1329,"15,045.00"
R19-2273,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3764 HENDERSON, Anchorage, Alaska",1408138000,NA,GATEWAY BLK  2 LT   3  G:2135,"12,280.00"
R19-2274,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1123 I STREET, Anchorage, Alaska",108133000,NA,SOUTH ADDITION BLK 23A LT   8B  G:1329,"18,100.00"
R19-2281,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1351 U STREET, Anchorage, Alaska",110616000,NA,BOOTLEGGER PARK BLK  1 LT  16  G:1428,"19,566.00"
R19-2355,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1353 U STREET, Anchorage, Alaska",110615000,NA,BOOTLEGGER PARK BLK  1 LT  15  G:1428,"18,900.00"
R19-2356,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2205 HILAND, Anchorage, Alaska",7814118000,NA,SOUTHFORK NORTH BLK  1 LT   2  G:0959,"28,008.00"
R19-2359,BldgAlter,ANCHORAGE SOLAR,2019,2019,"E 923 11TH, Anchorage, Alaska",311524000,NA,BEVERS (THIRD ADDN) BLK   4C LT  10 G:1332,"17,280.00"
R19-2377,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"2261 FOXHALL, Anchorage, Alaska",627218000,NA,FOXHALL #1 BLK  1 LT  51  G:1539,"13,500.00"
R19-2428,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2727 HILAND, Anchorage, Alaska",7816109000,NA,CHUGACH HILLS BLK  1 LT   1A  G:0959,"12,600.00"
R19-2458,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1322 N, Anchorage, Alaska",109604000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34B LT   4  G:1429,"22,850.00"
R19-2459,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 3332 83RD, Anchorage, Alaska",1225218000,NA,MCWILLIAMS BLK  2A LT   3  G:2226,"13,230.00"
R19-2460,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3116 PRINCETON, Anchorage, Alaska",321613000,NA,COLLEGE VILLAGE # 6 BLK 15 LT   2  G:1633,"22,320.00"
R19-2461,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 621 15TH, Anchorage, Alaska",215519000,NA,SOUTH ADDITION BLK 38D LT   3  G:1430,"13,650.00"
R19-2462,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2727 HILAND, Anchorage, Alaska",7816109000,NA,CHUGACH HILLS BLK  1 LT   1A  G:0959,"12,600.00"
R19-2463,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3861 CHINIAK BAY, Anchorage, Alaska",1140102000,NA,BAYSHORE WEST #2 BLK  5 LT   1  G:2525,"72,540.00"
R19-2526,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3561 NOVA, Anchorage, Alaska",1006339000,NA,SATELLITE PARK #1 BLK  1 LT  20A  G:1625,"15,000.00"
R19-2527,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2112 ESQUIRE DRIVE, Anchorage, Alaska",117531000,NA,FOREST PARK LT  13 G:1528,"20,000.00"
